場所	屋内	便所	便所
場所	屋内	地下室	地下室
場所	屋内	旅籠	旅籠
場所	自然	部分的に水中	部分的に水中
天候と時間帯	時間帯	夕焼	夕焼
天候と時間帯	時間帯	夕焼け	夕焼け
属性	性質	悪党	悪党
年齢	年齢指定	年差	年の差
年齢	年齢指定	年齢	年齢
年齢	男女共通	大人大人	大人大人
成人向け	SM	手錠	手錠
成人向け	SM	拘束	拘束
成人向け	スカトロ	失禁	失禁
成人向け	スカトロ	糞尿	糞尿
成人向け	前戯	舌出し	舌出し
成人向け	射精	中出し	中出し
成人向け	射精	帽子内射精	帽子内射精
成人向け	射精	精液	精液
成人向け	射精	顔に精液	顔に精液
成人向け	性器	勃起	勃起
成人向け	性器	包皮	包皮
成人向け	性器	口子宮	子宮口
成人向け	性器	陰嚢	陰嚢
成人向け	挿入	壁越し	壁越し
成人向け	挿入	深い挿入	深い挿入
成人向け	肌	唾液の筋	唾液の筋
成人向け	胸	胸の影	胸の影
成人向け	胸	胸元	胸元
服装	一式	勝負服	勝負服
服装	一式	部族衣装	部族衣装
服装	一般	着衣女性	着衣女性
服装	制服	学校の体操着	学校の体操着
服装	防具	甲冑	甲冑
照明	方向	逆光	逆光
表情・感情	ネガティブな感情	嫌がる	嫌がる
表情・感情	ネガティブな感情	疲労	疲労
表情・感情	ポジティブな感情	勝利	勝利
表情・感情	ポジティブな感情	興奮	興奮
表情・感情	リラックス	泥酔	泥酔
表情・感情	暗い表情	失神	失神
表情・感情	真剣な表情・感情	我慢の表情	我慢の表情
表情・感情	真剣な表情・感情	集中	集中
装飾	メイク	口紅	口紅
身体	肌	泥汚れ	泥汚れ
顔	目	薄目	薄目
